# baseband_freq_hz,power_dbfs_per_hz
-449340.8,-89.937
-449218.8,-89.897
-449096.7,-89.966
-448974.6,-90.101
-448852.5,-90.026
-448730.5,-89.945
-448608.4,-89.906
-448486.3,-89.900
-448364.3,-89.852
-448242.2,-89.688
-448120.1,-89.535
-447998.0,-89.403
-447876.0,-89.413
-447753.9,-89.446
-447631.8,-89.499
-447509.8,-89.535
-447387.7,-89.458
-447265.6,-89.535
-447143.6,-89.452
-447021.5,-89.363
-446899.4,-89.340
-446777.3,-89.334
-446655.3,-89.214
-446533.2,-89.219
-446411.1,-89.190
-446289.1,-89.193
-446167.0,-89.278
-446044.9,-89.232
-445922.9,-89.220
-445800.8,-89.168
-445678.7,-89.169
-445556.6,-89.160
-445434.6,-89.039
-445312.5,-88.942
-445190.4,-88.943
-445068.4,-88.970
-444946.3,-89.023
-444824.2,-89.120
-444702.1,-89.124
-444580.1,-89.089
-444458.0,-89.041
-444335.9,-88.996
-444213.9,-88.876
-444091.8,-88.786
-443969.7,-88.717
-443847.7,-88.723
-443725.6,-88.830
-443603.5,-89.002
-443481.4,-88.908
-443359.4,-88.787
-443237.3,-88.706
-443115.2,-88.658
-442993.2,-88.649
-442871.1,-88.759
-442749.0,-88.856
-442627.0,-89.118
-442504.9,-89.005
-442382.8,-88.839
-442260.7,-88.727
-442138.7,-88.634
-442016.6,-88.771
-441894.5,-88.668
-441772.5,-88.464
-441650.4,-88.563
-441528.3,-88.630
-441406.2,-88.754
-441284.2,-88.719
-441162.1,-88.737
-441040.0,-88.549
-440918.0,-88.669
-440795.9,-88.881
-440673.8,-88.983
-440551.8,-88.784
-440429.7,-88.873
-440307.6,-88.840
-440185.5,-88.984
-440063.5,-89.101
-439941.4,-88.863
-439819.3,-88.744
-439697.3,-88.644
-439575.2,-88.693
-439453.1,-88.807
-439331.1,-88.908
-439209.0,-89.051
-439086.9,-88.892
-438964.8,-88.946
-438842.8,-88.971
-438720.7,-89.249
-438598.6,-89.177
-438476.6,-89.022
-438354.5,-88.741
-438232.4,-88.817
-438110.4,-89.218
-437988.3,-89.131
-437866.2,-88.887
-437744.1,-88.591
-437622.1,-88.678
-437500.0,-88.861
-437377.9,-88.847
-437255.9,-88.641
-437133.8,-88.779
-437011.7,-88.770
-436889.6,-88.901
-436767.6,-89.060
-436645.5,-89.048
-436523.4,-89.012
-436401.4,-88.829
-436279.3,-88.670
-436157.2,-88.544
-436035.2,-88.606
-435913.1,-88.577
-435791.0,-88.750
-435668.9,-88.456
-435546.9,-88.765
-435424.8,-88.852
-435302.7,-88.707
-435180.7,-88.460
-435058.6,-88.314
-434936.5,-88.142
-434814.5,-87.922
-434692.4,-87.815
-434570.3,-87.922
-434448.2,-88.549
-434326.2,-88.679
-434204.1,-88.420
-434082.0,-88.394
-433960.0,-88.620
-433837.9,-88.520
-433715.8,-88.176
-433593.8,-88.125
-433471.7,-88.356
-433349.6,-88.440
-433227.5,-88.468
-433105.5,-88.346
-432983.4,-88.311
-432861.3,-88.391
-432739.3,-88.546
-432617.2,-88.072
-432495.1,-87.819
-432373.0,-87.836
-432251.0,-88.149
-432128.9,-88.391
-432006.8,-88.108
-431884.8,-88.061
-431762.7,-87.889
-431640.6,-88.020
-431518.6,-88.215
-431396.5,-88.005
-431274.4,-87.863
-431152.3,-87.441
-431030.3,-87.422
-430908.2,-87.666
-430786.1,-87.737
-430664.1,-87.731
-430542.0,-87.501
-430419.9,-87.365
-430297.9,-87.344
-430175.8,-87.636
-430053.7,-87.718
-429931.6,-87.892
-429809.6,-88.080
-429687.5,-88.297
-429565.4,-88.401
-429443.4,-88.446
-429321.3,-88.242
-429199.2,-88.220
-429077.1,-88.485
-428955.1,-88.536
-428833.0,-88.445
-428710.9,-88.254
-428588.9,-88.161
-428466.8,-88.212
-428344.7,-88.250
-428222.7,-88.233
-428100.6,-88.208
-427978.5,-88.327
-427856.4,-88.368
-427734.4,-88.263
-427612.3,-88.198
-427490.2,-88.214
-427368.2,-87.964
-427246.1,-88.253
-427124.0,-88.107
-427002.0,-87.953
-426879.9,-87.563
-426757.8,-87.603
