# baseband_freq_hz,power_dbfs_per_hz
-434326.2,-76.048
-434204.1,-82.998
-434082.0,-86.766
-433960.0,-80.924
-433837.9,-78.369
-433715.8,-82.152
-433593.8,-86.170
-433471.7,-75.374
-433349.6,-73.805
-433227.5,-81.021
-433105.5,-80.201
-432983.4,-75.833
-432861.3,-75.496
-432739.3,-84.328
-432617.2,-83.738
-432495.1,-76.494
-432373.0,-75.863
-432251.0,-81.619
-432128.9,-84.831
-432006.8,-79.224
-431884.8,-79.561
-431762.7,-85.464
-431640.6,-82.867
-431518.6,-76.945
-431396.5,-78.615
-431274.4,-84.231
-431152.3,-83.035
-431030.3,-77.819
-430908.2,-80.821
-430786.1,-83.905
-430664.1,-79.785
-430542.0,-76.923
-430419.9,-80.074
-430297.9,-83.376
-430175.8,-83.944
-430053.7,-80.936
-429931.6,-83.042
-429809.6,-80.746
-429687.5,-76.310
-429565.4,-72.852
-429443.4,-77.862
-429321.3,-82.855
-429199.2,-78.473
-429077.1,-77.204
-428955.1,-81.988
-428833.0,-80.891
-428710.9,-77.994
-428588.9,-77.210
-428466.8,-82.520
-428344.7,-82.234
-428222.7,-78.094
-428100.6,-77.579
-427978.5,-82.473
-427856.4,-82.365
-427734.4,-77.331
-427612.3,-76.187
-427490.2,-81.495
-427368.2,-81.317
-427246.1,-74.987
-427124.0,-74.967
-427002.0,-82.993
-426879.9,-81.057
-426757.8,-77.363
-426635.7,-78.000
-426513.7,-78.653
-426391.6,-78.698
-426269.5,-75.499
-426147.5,-78.191
-426025.4,-83.047
-425903.3,-78.611
-425781.2,-72.758
-425659.2,-75.812
-425537.1,-83.564
-425415.0,-77.957
-425293.0,-73.068
-425170.9,-76.633
-425048.8,-82.521
-424926.8,-75.930
-424804.7,-71.145
-424682.6,-75.818
-424560.5,-79.232
-424438.5,-74.697
-424316.4,-70.199
-424194.3,-75.692
-424072.3,-82.617
-423950.2,-74.391
-423828.1,-71.370
-423706.1,-77.111
-423584.0,-76.892
-423461.9,-73.381
-423339.8,-70.644
-423217.8,-77.571
-423095.7,-82.482
-422973.6,-74.257
-422851.6,-71.927
-422729.5,-79.666
-422607.4,-81.177
-422485.4,-73.497
-422363.3,-72.739
-422241.2,-80.982
-422119.1,-78.780
-421997.1,-74.600
-421875.0,-75.785
-421752.9,-81.974
-421630.9,-79.002
-421508.8,-74.702
-421386.7,-77.056
-421264.6,-82.782
-421142.6,-78.814
-421020.5,-71.697
-420898.4,-73.630
-420776.4,-82.165
-420654.3,-77.118
-420532.2,-70.441
-420410.2,-73.276
-420288.1,-82.487
-420166.0,-74.798
-420043.9,-68.585
-419921.9,-72.451
-419799.8,-83.182
-419677.7,-74.290
-419555.7,-69.113
-419433.6,-73.947
-419311.5,-82.756
-419189.5,-74.642
-419067.4,-70.237
-418945.3,-75.686
-418823.2,-81.490
-418701.2,-72.241
-418579.1,-68.472
-418457.0,-74.937
-418335.0,-82.729
-418212.9,-70.113
-418090.8,-66.374
-417968.8,-73.707
-417846.7,-81.752
-417724.6,-70.692
-417602.5,-68.284
-417480.5,-76.288
-417358.4,-79.533
